Algorithm,Best (Min),Worst (Max),Mean,Std Dev,Variance,Avg Time (s)
9. HDE-PSO (Proposed),747.4889034028533,1011.5571550569464,838.7185434907881,97.03290151358505,9415.383976145096,98.14289321899415
4. MPSOGOA (2024),914.524733012697,1222.8206093650124,1040.998267624167,108.72449016721433,11821.014762120685,52.215210151672366
5. VN-IPSO (2024),775.5332834381227,1388.100983866676,1132.0339633022377,228.21204433477467,52080.737179457166,116.34970178604127
3. HSPSO (2024),1037.6263916741157,1337.3315182913714,1227.4395801654894,122.19735531850601,14932.193646837211,64.73382506370544
2. DCWPSO (2024),936.5582776232208,1894.030916392716,1326.725847172946,348.3470957862743,121345.69914273176,45.17657814025879
1. Standard PSO,1285.6121094143716,1530.018581764118,1371.9141461157512,103.63937125167439,10741.119273442391,44.265168237686154
